Set parameter TimeLimit to value 14400
Set parameter Threads to value 1
Set parameter MIPGap to value 0
Set parameter OutputFlag to value 1
Set parameter PreCrush to value 1
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0
PreCrush  1
Threads  1

Optimize a model with 24512 rows, 15551 columns and 49633 nonzeros
Model fingerprint: 0xbf6bcc7d
Variable types: 15030 continuous, 521 integer (521 binary)
Coefficient statistics:
  Matrix range     [1e-03, 1e+03]
  Objective range  [4e-05, 1e+03]
  Bounds range     [8e+01, 8e+02]
  RHS range        [2e-01, 1e+03]
Found heuristic solution: objective 22154.847855
Presolve removed 12126 rows and 12037 columns
Presolve time: 0.23s
Presolved: 12386 rows, 3514 columns, 28361 nonzeros
Variable types: 2996 continuous, 518 integer (518 binary)

Root relaxation: objective 8.921210e+03, 3464 iterations, 0.35 seconds (0.29 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 8921.20998    0  330 22154.8479 8921.20998  59.7%     -    1s
H    0     0                    17637.970236 8921.20998  49.4%     -    1s
H    0     0                    15810.299236 8921.20998  43.6%     -    1s
     0     0 9560.59708    0  213 15810.2992 9560.59708  39.5%     -    2s
     0     0 9638.22022    0  212 15810.2992 9638.22022  39.0%     -    2s
     0     0 9690.42958    0  194 15810.2992 9690.42958  38.7%     -    2s
     0     0 9722.01011    0  220 15810.2992 9722.01011  38.5%     -    2s
     0     0 9750.81216    0  194 15810.2992 9750.81216  38.3%     -    3s
     0     0 9768.80231    0  214 15810.2992 9768.80231  38.2%     -    3s
     0     0 9791.24255    0  221 15810.2992 9791.24255  38.1%     -    3s
     0     0 9809.14355    0  217 15810.2992 9809.14355  38.0%     -    3s
     0     0 9827.96088    0  223 15810.2992 9827.96088  37.8%     -    3s
     0     0 9841.60265    0  223 15810.2992 9841.60265  37.8%     -    3s
     0     0 9851.48809    0  216 15810.2992 9851.48809  37.7%     -    3s
     0     0 9860.34267    0  222 15810.2992 9860.34267  37.6%     -    3s
     0     0 9868.79170    0  213 15810.2992 9868.79170  37.6%     -    3s
     0     0 9881.81667    0  224 15810.2992 9881.81667  37.5%     -    4s
     0     0 9889.56328    0  217 15810.2992 9889.56328  37.4%     -    4s
     0     0 9894.13149    0  208 15810.2992 9894.13149  37.4%     -    4s
     0     0 9898.81406    0  220 15810.2992 9898.81406  37.4%     -    4s
     0     0 9901.28997    0  216 15810.2992 9901.28997  37.4%     -    4s
     0     0 9902.94933    0  227 15810.2992 9902.94933  37.4%     -    4s
     0     0 9905.60658    0  213 15810.2992 9905.60658  37.3%     -    4s
     0     0 9908.67637    0  209 15810.2992 9908.67637  37.3%     -    4s
     0     0 9910.56437    0  217 15810.2992 9910.56437  37.3%     -    4s
     0     0 9911.73239    0  215 15810.2992 9911.73239  37.3%     -    5s
     0     0 9913.18747    0  210 15810.2992 9913.18747  37.3%     -    5s
     0     0 9916.33741    0  227 15810.2992 9916.33741  37.3%     -    5s
     0     0 9919.15579    0  239 15810.2992 9919.15579  37.3%     -    5s
     0     0 9921.42512    0  262 15810.2992 9921.42512  37.2%     -    5s
     0     0 9924.19094    0  233 15810.2992 9924.19094  37.2%     -    5s
     0     0 9925.53094    0  234 15810.2992 9925.53094  37.2%     -    5s
     0     0 9927.06685    0  221 15810.2992 9927.06685  37.2%     -    5s
     0     0 9928.30890    0  233 15810.2992 9928.30890  37.2%     -    5s
     0     0 9930.41901    0  240 15810.2992 9930.41901  37.2%     -    5s
     0     0 9933.09694    0  242 15810.2992 9933.09694  37.2%     -    6s
     0     0 9934.69282    0  239 15810.2992 9934.69282  37.2%     -    6s
     0     0 9936.02378    0  244 15810.2992 9936.02378  37.2%     -    6s
     0     0 9937.01729    0  239 15810.2992 9937.01729  37.1%     -    6s
     0     0 9938.38343    0  240 15810.2992 9938.38343  37.1%     -    6s
     0     0 9939.49948    0  245 15810.2992 9939.49948  37.1%     -    6s
     0     0 9941.13632    0  215 15810.2992 9941.13632  37.1%     -    6s
     0     0 9942.09672    0  236 15810.2992 9942.09672  37.1%     -    7s
     0     0 9942.76370    0  233 15810.2992 9942.76370  37.1%     -    7s
     0     0 9943.63109    0  234 15810.2992 9943.63109  37.1%     -    7s
     0     0 9944.12150    0  229 15810.2992 9944.12150  37.1%     -    7s
     0     0 9944.89014    0  248 15810.2992 9944.89014  37.1%     -    7s
     0     0 9946.29582    0  252 15810.2992 9946.29582  37.1%     -    7s
     0     0 9947.44130    0  266 15810.2992 9947.44130  37.1%     -    7s
     0     0 9948.87819    0  241 15810.2992 9948.87819  37.1%     -    7s
     0     0 9950.28162    0  232 15810.2992 9950.28162  37.1%     -    7s
     0     0 9951.74893    0  229 15810.2992 9951.74893  37.1%     -    8s
     0     0 9953.22416    0  233 15810.2992 9953.22416  37.0%     -    8s
