Set parameter TimeLimit to value 14400
Set parameter Threads to value 1
Set parameter MIPGap to value 0
Set parameter OutputFlag to value 1
Set parameter PreCrush to value 1
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0
PreCrush  1
Threads  1

Optimize a model with 40209 rows, 30733 columns and 81209 nonzeros
Model fingerprint: 0x46ccd54a
Variable types: 30030 continuous, 703 integer (703 binary)
Coefficient statistics:
  Matrix range     [5e-04, 1e+03]
  Objective range  [1e-04, 1e+03]
  Bounds range     [9e+01, 9e+02]
  RHS range        [1e-01, 1e+03]
Found heuristic solution: objective 22210.615470
Presolve removed 27062 rows and 27063 columns
Presolve time: 0.31s
Presolved: 13147 rows, 3670 columns, 30098 nonzeros
Variable types: 2969 continuous, 701 integer (701 binary)

Root relaxation: objective 1.059922e+04, 3748 iterations, 0.36 seconds (0.30 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 10599.2156    0  373 22210.6155 10599.2156  52.3%     -    1s
H    0     0                    20445.464410 10599.2156  48.2%     -    1s
     0     0 11305.7709    0  241 20445.4644 11305.7709  44.7%     -    3s
H    0     0                    16379.012513 11310.2112  30.9%     -    3s
     0     0 11371.7200    0  234 16379.0125 11371.7200  30.6%     -    3s
     0     0 11419.0266    0  238 16379.0125 11419.0266  30.3%     -    3s
     0     0 11451.7723    0  245 16379.0125 11451.7723  30.1%     -    3s
     0     0 11475.4122    0  238 16379.0125 11475.4122  29.9%     -    3s
     0     0 11492.2215    0  245 16379.0125 11492.2215  29.8%     -    3s
     0     0 11506.8695    0  243 16379.0125 11506.8695  29.7%     -    3s
     0     0 11515.2722    0  226 16379.0125 11515.2722  29.7%     -    4s
     0     0 11520.3983    0  251 16379.0125 11520.3983  29.7%     -    4s
     0     0 11525.1699    0  228 16379.0125 11525.1699  29.6%     -    4s
     0     0 11531.1221    0  220 16379.0125 11531.1221  29.6%     -    4s
     0     0 11535.5226    0  234 16379.0125 11535.5226  29.6%     -    4s
     0     0 11540.9153    0  247 16379.0125 11540.9153  29.5%     -    4s
     0     0 11544.6449    0  256 16379.0125 11544.6449  29.5%     -    4s
     0     0 11549.3244    0  239 16379.0125 11549.3244  29.5%     -    4s
     0     0 11553.2992    0  238 16379.0125 11553.2992  29.5%     -    4s
     0     0 11558.3792    0  246 16379.0125 11558.3792  29.4%     -    5s
     0     0 11562.3766    0  269 16379.0125 11562.3766  29.4%     -    5s
     0     0 11564.8658    0  261 16379.0125 11564.8658  29.4%     -    5s
     0     0 11568.5517    0  297 16379.0125 11568.5517  29.4%     -    5s
     0     0 11571.0311    0  257 16379.0125 11571.0311  29.4%     -    6s
     0     0 11575.8614    0  297 16379.0125 11575.8614  29.3%     -    6s
     0     0 11577.4932    0  250 16379.0125 11577.4932  29.3%     -    6s
     0     0 11578.3408    0  292 16379.0125 11578.3408  29.3%     -    6s
     0     0 11581.1336    0  266 16379.0125 11581.1336  29.3%     -    7s
     0     0 11581.9374    0  267 16379.0125 11581.9374  29.3%     -    7s
     0     0 11583.2718    0  319 16379.0125 11583.2718  29.3%     -    7s
     0     0 11585.0790    0  273 16379.0125 11585.0790  29.3%     -    7s
     0     0 11586.4255    0  279 16379.0125 11586.4255  29.3%     -    7s
     0     0 11587.8653    0  275 16379.0125 11587.8653  29.3%     -    7s
     0     0 11589.2156    0  290 16379.0125 11589.2156  29.2%     -    7s
     0     0 11590.4696    0  295 16379.0125 11590.4696  29.2%     -    8s
     0     0 11591.6871    0  277 16379.0125 11591.6871  29.2%     -    8s
     0     0 11592.7414    0  280 16379.0125 11592.7414  29.2%     -    8s
     0     0 11594.0394    0  283 16379.0125 11594.0394  29.2%     -    8s
     0     0 11595.1213    0  289 16379.0125 11595.1213  29.2%     -    8s
     0     0 11596.0530    0  269 16379.0125 11596.0530  29.2%     -    8s
     0     0 11596.6215    0  271 16379.0125 11596.6215  29.2%     -    9s
     0     0 11597.1137    0  238 16379.0125 11597.1137  29.2%     -    9s
     0     0 11597.9360    0  279 16379.0125 11597.9360  29.2%     -    9s
     0     0 11598.6128    0  274 16379.0125 11598.6128  29.2%     -    9s
     0     0 11599.4112    0  329 16379.0125 11599.4112  29.2%     -    9s
     0     0 11600.2108    0  315 16379.0125 11600.2108  29.2%     -    9s
     0     0 11600.7151    0  281 16379.0125 11600.7151  29.2%     -   10s
     0     0 11601.1425    0  324 16379.0125 11601.1425  29.2%     -   10s
     0     0 11601.5089    0  292 16379.0125 11601.5089  29.2%     -   10s
     0     0 11601.9957    0  272 16379.0125 11601.9957  29.2%     -   10s
     0     0 11602.4887    0  275 16379.0125 11602.4887  29.2%     -   10s
     0     0 11603.0422    0  272 16379.0125 11603.0422  29.2%     -   11s
     0     0 11603.4992    0  279 16379.0125 11603.4992  29.2%     -   11s
