Set parameter TimeLimit to value 14400
Set parameter Threads to value 1
Set parameter MIPGap to value 0
Set parameter OutputFlag to value 1
Set parameter PreCrush to value 1
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0
PreCrush  1
Threads  1

Optimize a model with 31812 rows, 20635 columns and 64387 nonzeros
Model fingerprint: 0xe16b265d
Variable types: 20040 continuous, 595 integer (595 binary)
Coefficient statistics:
  Matrix range     [1e-03, 1e+03]
  Objective range  [6e-04, 1e+03]
  Bounds range     [8e+01, 1e+03]
  RHS range        [2e-01, 1e+03]
Found heuristic solution: objective 31712.765295
Presolve removed 16148 rows and 16054 columns
Presolve time: 0.40s
Presolved: 15664 rows, 4581 columns, 39622 nonzeros
Variable types: 3989 continuous, 592 integer (592 binary)

Root relaxation: objective 1.376889e+04, 4094 iterations, 0.46 seconds (0.47 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 13768.8946    0  357 31712.7653 13768.8946  56.6%     -    1s
H    0     0                    29164.332515 13768.8946  52.8%     -    2s
     0     0 14461.4708    0  271 29164.3325 14461.4708  50.4%     -    4s
     0     0 14652.8636    0  225 29164.3325 14652.8636  49.8%     -    5s
     0     0 14769.1145    0  192 29164.3325 14769.1145  49.4%     -    5s
     0     0 14839.6386    0  218 29164.3325 14839.6386  49.1%     -    5s
     0     0 14896.3157    0  223 29164.3325 14896.3157  48.9%     -    5s
     0     0 14929.3328    0  194 29164.3325 14929.3328  48.8%     -    6s
     0     0 14967.2270    0  209 29164.3325 14967.2270  48.7%     -    6s
     0     0 14989.5882    0  216 29164.3325 14989.5882  48.6%     -    6s
     0     0 15011.3431    0  192 29164.3325 15011.3431  48.5%     -    6s
     0     0 15024.4385    0  254 29164.3325 15024.4385  48.5%     -    6s
     0     0 15039.2334    0  200 29164.3325 15039.2334  48.4%     -    7s
     0     0 15050.7948    0  264 29164.3325 15050.7948  48.4%     -    7s
     0     0 15059.9863    0  224 29164.3325 15059.9863  48.4%     -    7s
     0     0 15065.9410    0  221 29164.3325 15065.9410  48.3%     -    7s
     0     0 15071.3671    0  219 29164.3325 15071.3671  48.3%     -    7s
     0     0 15077.3447    0  225 29164.3325 15077.3447  48.3%     -    7s
     0     0 15080.0025    0  232 29164.3325 15080.0025  48.3%     -    8s
     0     0 15084.1353    0  233 29164.3325 15084.1353  48.3%     -    8s
     0     0 15085.8196    0  205 29164.3325 15085.8196  48.3%     -    8s
     0     0 15087.4382    0  239 29164.3325 15087.4382  48.3%     -    8s
     0     0 15090.3783    0  224 29164.3325 15090.3783  48.3%     -    9s
     0     0 15092.9787    0  220 29164.3325 15092.9787  48.2%     -    9s
     0     0 15094.7042    0  235 29164.3325 15094.7042  48.2%     -    9s
     0     0 15095.6737    0  226 29164.3325 15095.6737  48.2%     -    9s
     0     0 15097.1736    0  229 29164.3325 15097.1736  48.2%     -    9s
     0     0 15099.3067    0  206 29164.3325 15099.3067  48.2%     -   10s
     0     0 15100.7462    0  234 29164.3325 15100.7462  48.2%     -   10s
     0     0 15101.7133    0  220 29164.3325 15101.7133  48.2%     -   10s
     0     0 15103.0097    0  239 29164.3325 15103.0097  48.2%     -   10s
     0     0 15104.0209    0  254 29164.3325 15104.0209  48.2%     -   10s
     0     0 15104.8810    0  223 29164.3325 15104.8810  48.2%     -   10s
     0     0 15106.0237    0  227 29164.3325 15106.0237  48.2%     -   11s
     0     0 15106.6213    0  238 29164.3325 15106.6213  48.2%     -   11s
     0     0 15108.2913    0  285 29164.3325 15108.2913  48.2%     -   11s
     0     0 15109.4961    0  277 29164.3325 15109.4961  48.2%     -   12s
     0     0 15110.5035    0  265 29164.3325 15110.5035  48.2%     -   12s
     0     0 15111.5835    0  225 29164.3325 15111.5835  48.2%     -   12s
     0     0 15112.1887    0  235 29164.3325 15112.1887  48.2%     -   12s
     0     0 15112.9747    0  266 29164.3325 15112.9747  48.2%     -   12s
     0     0 15113.6998    0  294 29164.3325 15113.6998  48.2%     -   12s
     0     0 15114.4855    0  274 29164.3325 15114.4855  48.2%     -   12s
     0     0 15115.4530    0  260 29164.3325 15115.4530  48.2%     -   13s
     0     0 15116.5098    0  264 29164.3325 15116.5098  48.2%     -   13s
     0     0 15117.5649    0  229 29164.3325 15117.5649  48.2%     -   13s
     0     0 15118.5979    0  244 29164.3325 15118.5979  48.2%     -   13s
     0     0 15119.1890    0  234 29164.3325 15119.1890  48.2%     -   13s
     0     0 15119.7480    0  228 29164.3325 15119.7480  48.2%     -   13s
     0     0 15120.6915    0  229 29164.3325 15120.6915  48.2%     -   13s
     0     0 15121.1764    0  215 29164.3325 15121.1764  48.2%     -   14s
     0     0 15121.5558    0  223 29164.3325 15121.5558  48.2%     -   14s
