Set parameter TimeLimit to value 14400
Set parameter Threads to value 1
Set parameter MIPGap to value 0
Set parameter OutputFlag to value 1
Set parameter PreCrush to value 1
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0
PreCrush  1
Threads  1

Optimize a model with 33021 rows, 33030 columns and 69085 nonzeros
Model fingerprint: 0xb2ea0021
Variable types: 30020 continuous, 3010 integer (3010 binary)
Coefficient statistics:
  Matrix range     [3e-04, 8e+02]
  Objective range  [3e-05, 1e+03]
  Bounds range     [9e+01, 6e+02]
  RHS range        [1e-01, 8e+02]
Found heuristic solution: objective 15947.139353
Presolve removed 27094 rows and 29159 columns
Presolve time: 0.16s
Presolved: 5927 rows, 3871 columns, 15815 nonzeros
Variable types: 2927 continuous, 944 integer (944 binary)

Root relaxation: objective 7.379555e+03, 2927 iterations, 0.09 seconds (0.12 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 7379.55490    0  513 15947.1394 7379.55490  53.7%     -    0s
H    0     0                    13920.712458 7379.55490  47.0%     -    0s
H    0     0                    11945.087458 7379.55490  38.2%     -    0s
     0     0 7912.30595    0  334 11945.0875 7912.30595  33.8%     -    1s
H    0     0                    11533.484450 7976.45190  30.8%     -    1s
     0     0 7976.45190    0  287 11533.4845 7976.45190  30.8%     -    1s
     0     0 7976.45190    0  267 11533.4845 7976.45190  30.8%     -    1s
     0     0 7979.21141    0  261 11533.4845 7979.21141  30.8%     -    1s
     0     0 7989.72690    0  246 11533.4845 7989.72690  30.7%     -    2s
     0     0 8000.82973    0  252 11533.4845 8000.82973  30.6%     -    2s
     0     0 8010.59381    0  246 11533.4845 8010.59381  30.5%     -    2s
     0     0 8018.15698    0  242 11533.4845 8018.15698  30.5%     -    2s
     0     0 8023.62803    0  248 11533.4845 8023.62803  30.4%     -    2s
     0     0 8031.32211    0  249 11533.4845 8031.32211  30.4%     -    2s
     0     0 8040.39600    0  254 11533.4845 8040.39600  30.3%     -    2s
     0     0 8045.89284    0  260 11533.4845 8045.89284  30.2%     -    2s
     0     0 8053.15908    0  261 11533.4845 8053.15908  30.2%     -    2s
     0     0 8058.93168    0  261 11533.4845 8058.93168  30.1%     -    2s
     0     0 8065.77487    0  267 11533.4845 8065.77487  30.1%     -    2s
     0     0 8071.63750    0  269 11533.4845 8071.63750  30.0%     -    2s
     0     0 8074.44549    0  267 11533.4845 8074.44549  30.0%     -    2s
     0     0 8079.31155    0  264 11533.4845 8079.31155  29.9%     -    2s
     0     0 8084.60295    0  272 11533.4845 8084.60295  29.9%     -    2s
     0     0 8088.16208    0  279 11533.4845 8088.16208  29.9%     -    3s
     0     0 8094.44559    0  282 11533.4845 8094.44559  29.8%     -    3s
     0     0 8098.76229    0  281 11533.4845 8098.76229  29.8%     -    3s
     0     0 8103.61046    0  271 11533.4845 8103.61046  29.7%     -    3s
     0     0 8105.72608    0  278 11533.4845 8105.72608  29.7%     -    3s
     0     0 8112.22160    0  276 11533.4845 8112.22160  29.7%     -    3s
     0     0 8115.20222    0  258 11533.4845 8115.20222  29.6%     -    3s
     0     0 8118.38040    0  255 11533.4845 8118.38040  29.6%     -    3s
     0     0 8121.50450    0  255 11533.4845 8121.50450  29.6%     -    3s
     0     0 8124.14327    0  250 11533.4845 8124.14327  29.6%     -    3s
     0     0 8126.45496    0  260 11533.4845 8126.45496  29.5%     -    3s
     0     0 8128.80881    0  263 11533.4845 8128.80881  29.5%     -    3s
     0     0 8131.17133    0  261 11533.4845 8131.17133  29.5%     -    3s
     0     0 8132.19330    0  262 11533.4845 8132.19330  29.5%     -    3s
     0     0 8133.21432    0  265 11533.4845 8133.21432  29.5%     -    3s
     0     0 8134.13687    0  268 11533.4845 8134.13687  29.5%     -    4s
     0     0 8135.81987    0  259 11533.4845 8135.81987  29.5%     -    4s
     0     0 8137.49339    0  273 11533.4845 8137.49339  29.4%     -    4s
     0     0 8138.46776    0  271 11533.4845 8138.46776  29.4%     -    4s
     0     0 8140.51825    0  273 11533.4845 8140.51825  29.4%     -    4s
     0     0 8142.14069    0  267 11533.4845 8142.14069  29.4%     -    4s
     0     0 8143.72016    0  274 11533.4845 8143.72016  29.4%     -    4s
     0     0 8144.58006    0  271 11533.4845 8144.58006  29.4%     -    4s
     0     0 8145.54283    0  275 11533.4845 8145.54283  29.4%     -    4s
     0     0 8146.57172    0  270 11533.4845 8146.57172  29.4%     -    4s
     0     0 8148.02122    0  269 11533.4845 8148.02122  29.4%     -    4s
     0     0 8149.21639    0  275 11533.4845 8149.21639  29.3%     -    5s
     0     0 8150.82661    0  272 11533.4845 8150.82661  29.3%     -    5s
     0     0 8151.18364    0  272 11533.4845 8151.18364  29.3%     -    5s
     0     0 8152.01155    0  272 11533.4845 8152.01155  29.3%     -    5s
