Set parameter TimeLimit to value 14400
Set parameter Threads to value 1
Set parameter MIPGap to value 0
Set parameter OutputFlag to value 1
Set parameter PreCrush to value 1
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0
PreCrush  1
Threads  1

Optimize a model with 44041 rows, 42060 columns and 90270 nonzeros
Model fingerprint: 0x7d8e6c4a
Variable types: 40040 continuous, 2020 integer (2020 binary)
Coefficient statistics:
  Matrix range     [5e-04, 1e+03]
  Objective range  [1e-04, 1e+03]
  Bounds range     [9e+01, 1e+03]
  RHS range        [1e-01, 1e+03]
Found heuristic solution: objective 30765.192281
Presolve removed 36049 rows and 37307 columns
Presolve time: 0.20s
Presolved: 7992 rows, 4753 columns, 20895 nonzeros
Variable types: 3992 continuous, 761 integer (761 binary)

Root relaxation: objective 1.512478e+04, 4579 iterations, 0.12 seconds (0.15 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 15124.7841    0  357 30765.1923 15124.7841  50.8%     -    0s
H    0     0                    26366.928171 15124.7841  42.6%     -    0s
H    0     0                    22489.602494 15124.7841  32.7%     -    0s
     0     0 15835.1793    0  246 22489.6025 15835.1793  29.6%     -    1s
     0     0 15940.9750    0  225 22489.6025 15940.9750  29.1%     -    1s
     0     0 16029.2033    0  219 22489.6025 16029.2033  28.7%     -    1s
     0     0 16099.8321    0  225 22489.6025 16099.8321  28.4%     -    1s
     0     0 16153.0840    0  219 22489.6025 16153.0840  28.2%     -    1s
     0     0 16209.6245    0  227 22489.6025 16209.6245  27.9%     -    1s
     0     0 16251.5196    0  227 22489.6025 16251.5196  27.7%     -    1s
     0     0 16295.8107    0  227 22489.6025 16295.8107  27.5%     -    1s
     0     0 16342.5270    0  223 22489.6025 16342.5270  27.3%     -    1s
     0     0 16400.6196    0  217 22489.6025 16400.6196  27.1%     -    1s
     0     0 16427.8945    0  211 22489.6025 16427.8945  27.0%     -    1s
     0     0 16460.0288    0  204 22489.6025 16460.0288  26.8%     -    1s
     0     0 16481.7368    0  205 22489.6025 16481.7368  26.7%     -    1s
     0     0 16502.8215    0  199 22489.6025 16502.8215  26.6%     -    1s
     0     0 16528.8408    0  203 22489.6025 16528.8408  26.5%     -    1s
     0     0 16541.0479    0  200 22489.6025 16541.0479  26.5%     -    2s
     0     0 16556.6754    0  205 22489.6025 16556.6754  26.4%     -    2s
     0     0 16574.5504    0  201 22489.6025 16574.5504  26.3%     -    2s
     0     0 16581.8520    0  203 22489.6025 16581.8520  26.3%     -    2s
     0     0 16588.3030    0  203 22489.6025 16588.3030  26.2%     -    2s
     0     0 16590.9977    0  205 22489.6025 16590.9977  26.2%     -    2s
     0     0 16596.0205    0  205 22489.6025 16596.0205  26.2%     -    2s
     0     0 16598.9889    0  207 22489.6025 16598.9889  26.2%     -    2s
     0     0 16602.7728    0  205 22489.6025 16602.7728  26.2%     -    2s
     0     0 16606.5238    0  216 22489.6025 16606.5238  26.2%     -    2s
     0     0 16611.1745    0  215 22489.6025 16611.1745  26.1%     -    2s
     0     0 16616.8989    0  222 22489.6025 16616.8989  26.1%     -    2s
     0     0 16621.0538    0  216 22489.6025 16621.0538  26.1%     -    2s
     0     0 16624.1508    0  222 22489.6025 16624.1508  26.1%     -    2s
     0     0 16630.3093    0  226 22489.6025 16630.3093  26.1%     -    2s
     0     0 16632.8549    0  218 22489.6025 16632.8549  26.0%     -    2s
     0     0 16634.7293    0  222 22489.6025 16634.7293  26.0%     -    2s
     0     0 16636.5401    0  224 22489.6025 16636.5401  26.0%     -    2s
     0     0 16640.1774    0  233 22489.6025 16640.1774  26.0%     -    2s
     0     0 16642.6943    0  224 22489.6025 16642.6943  26.0%     -    2s
     0     0 16646.7419    0  228 22489.6025 16646.7419  26.0%     -    3s
     0     0 16651.0274    0  226 22489.6025 16651.0274  26.0%     -    3s
     0     0 16653.5001    0  221 22489.6025 16653.5001  26.0%     -    3s
     0     0 16655.4018    0  227 22489.6025 16655.4018  25.9%     -    3s
     0     0 16657.2639    0  226 22489.6025 16657.2639  25.9%     -    3s
     0     0 16660.3005    0  229 22489.6025 16660.3005  25.9%     -    3s
     0     0 16663.0502    0  240 22489.6025 16663.0502  25.9%     -    3s
     0     0 16666.1099    0  236 22489.6025 16666.1099  25.9%     -    3s
     0     0 16668.1284    0  237 22489.6025 16668.1284  25.9%     -    3s
     0     0 16669.5153    0  231 22489.6025 16669.5153  25.9%     -    3s
     0     0 16671.5898    0  235 22489.6025 16671.5898  25.9%     -    3s
     0     0 16674.5545    0  234 22489.6025 16674.5545  25.9%     -    3s
     0     0 16676.7215    0  238 22489.6025 16676.7215  25.8%     -    3s
     0     0 16678.2069    0  228 22489.6025 16678.2069  25.8%     -    3s
     0     0 16681.5188    0  241 22489.6025 16681.5188  25.8%     -    3s
