Set parameter TimeLimit to value 14400
Set parameter Threads to value 1
Set parameter MIPGap to value 0
Set parameter OutputFlag to value 1
Set parameter PreCrush to value 1
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0
PreCrush  1
Threads  1

Optimize a model with 7705 rows, 1093 columns and 16694 nonzeros
Model fingerprint: 0xc1d6583b
Variable types: 100 continuous, 993 integer (993 binary)
Coefficient statistics:
  Matrix range     [1e-03, 9e+01]
  Objective range  [1e+02, 3e+02]
  Bounds range     [5e+02, 6e+02]
  RHS range        [2e-01, 7e+02]
Found heuristic solution: objective 183714.24400
Presolve removed 97 rows and 26 columns
Presolve time: 0.14s
Presolved: 7608 rows, 1067 columns, 21117 nonzeros
Extracted 3587 lazy constraints
Variable types: 75 continuous, 992 integer (992 binary)

Root relaxation: objective 1.463943e+05, 1753 iterations, 0.10 seconds (0.14 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 146394.272    0  631 183714.244 146394.272  20.3%     -    0s
H    0     0                    154754.14000 146394.272  5.40%     -    0s
     0     0 147553.248    0  676 154754.140 147553.248  4.65%     -    0s
     0     0 148123.532    0  675 154754.140 148123.532  4.28%     -    1s
     0     0 148294.691    0  690 154754.140 148294.691  4.17%     -    1s
     0     0 148432.953    0  693 154754.140 148432.953  4.08%     -    1s
     0     0 148568.776    0  701 154754.140 148568.776  4.00%     -    1s
     0     0 148668.203    0  707 154754.140 148668.203  3.93%     -    1s
     0     0 148795.854    0  707 154754.140 148795.854  3.85%     -    1s
     0     0 148868.536    0  709 154754.140 148868.536  3.80%     -    1s
     0     0 148956.274    0  710 154754.140 148956.274  3.75%     -    1s
     0     0 149041.984    0  712 154754.140 149041.984  3.69%     -    1s
     0     0 149106.806    0  713 154754.140 149106.806  3.65%     -    1s
     0     0 149190.755    0  709 154754.140 149190.755  3.59%     -    1s
     0     0 149258.990    0  723 154754.140 149258.990  3.55%     -    1s
     0     0 149313.206    0  696 154754.140 149313.206  3.52%     -    1s
     0     0 149357.356    0  703 154754.140 149357.356  3.49%     -    1s
     0     0 149406.450    0  733 154754.140 149406.450  3.46%     -    1s
     0     0 149457.142    0  741 154754.140 149457.142  3.42%     -    1s
     0     0 149511.056    0  736 154754.140 149511.056  3.39%     -    1s
     0     0 149542.191    0  744 154754.140 149542.191  3.37%     -    1s
     0     0 149583.416    0  741 154754.140 149583.416  3.34%     -    2s
     0     0 149615.743    0  723 154754.140 149615.743  3.32%     -    2s
     0     0 149649.772    0  746 154754.140 149649.772  3.30%     -    2s
     0     0 149682.190    0  747 154754.140 149682.190  3.28%     -    2s
     0     0 149708.226    0  754 154754.140 149708.226  3.26%     -    2s
     0     0 149735.946    0  764 154754.140 149735.946  3.24%     -    2s
     0     0 149756.691    0  749 154754.140 149756.691  3.23%     -    2s
     0     0 149774.195    0  763 154754.140 149774.195  3.22%     -    2s
     0     0 149801.170    0  763 154754.140 149801.170  3.20%     -    2s
     0     0 149830.374    0  770 154754.140 149830.374  3.18%     -    2s
     0     0 149868.136    0  776 154754.140 149868.136  3.16%     -    2s
     0     0 149885.742    0  778 154754.140 149885.742  3.15%     -    2s
     0     0 149901.567    0  787 154754.140 149901.567  3.14%     -    2s
     0     0 149926.025    0  788 154754.140 149926.025  3.12%     -    2s
     0     0 149955.751    0  770 154754.140 149955.751  3.10%     -    2s
     0     0 149973.163    0  784 154754.140 149973.163  3.09%     -    2s
     0     0 150006.512    0  783 154754.140 150006.512  3.07%     -    3s
     0     0 150017.157    0  781 154754.140 150017.157  3.06%     -    3s
     0     0 150026.253    0  792 154754.140 150026.253  3.06%     -    3s
     0     0 150057.333    0  768 154754.140 150057.333  3.04%     -    3s
     0     0 150072.668    0  775 154754.140 150072.668  3.03%     -    3s
     0     0 150094.893    0  775 154754.140 150094.893  3.01%     -    3s
     0     0 150115.474    0  778 154754.140 150115.474  3.00%     -    3s
     0     0 150127.132    0  780 154754.140 150127.132  2.99%     -    3s
     0     0 150138.566    0  778 154754.140 150138.566  2.98%     -    3s
     0     0 150152.358    0  783 154754.140 150152.358  2.97%     -    3s
     0     0 150167.466    0  781 154754.140 150167.466  2.96%     -    3s
     0     0 150180.038    0  778 154754.140 150180.038  2.96%     -    3s
     0     0 150193.697    0  783 154754.140 150193.697  2.95%     -    4s
     0     0 150209.735    0  783 154754.140 150209.735  2.94%     -    4s
     0     0 150223.826    0  784 154754.140 150223.826  2.93%     -    4s
     0     0 150234.357    0  794 154754.140 150234.357  2.92%     -    4s
     0     0 150249.431    0  788 154754.140 150249.431  2.91%     -    4s
     0     0 150276.018    0  788 154754.140 150276.018  2.89%     -    4s
     0     0 150290.834    0  791 154754.140 150290.834  2.88%     -    4s
     0     0 150298.431    0  797 154754.140 150298.431  2.88%     -    4s
