Set parameter TimeLimit to value 14400
Set parameter Threads to value 1
Set parameter MIPGap to value 0
Set parameter OutputFlag to value 1
Set parameter PreCrush to value 1
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0
PreCrush  1
Threads  1

Optimize a model with 10081 rows, 3050 columns and 23231 nonzeros
Model fingerprint: 0xaf3d4dd6
Variable types: 50 continuous, 3000 integer (3000 binary)
Coefficient statistics:
  Matrix range     [3e-04, 2e+01]
  Objective range  [1e+02, 3e+02]
  Bounds range     [5e+02, 6e+02]
  RHS range        [5e-02, 7e+02]
Found heuristic solution: objective 176487.74700
Presolve removed 8562 rows and 1920 columns
Presolve time: 0.03s
Presolved: 1519 rows, 1130 columns, 4191 nonzeros
Found heuristic solution: objective 176943.76200
Variable types: 24 continuous, 1106 integer (1106 binary)

Root relaxation: objective 1.557939e+05, 677 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 155793.853    0  351 176487.747 155793.853  11.7%     -    0s
H    0     0                    158156.51000 155793.853  1.49%     -    0s
H    0     0                    157336.89180 155793.853  0.98%     -    0s
     0     0 156009.816    0  309 157336.892 156009.816  0.84%     -    0s
H    0     0                    157176.91000 156011.471  0.74%     -    0s
     0     0 156044.167    0  311 157176.910 156044.167  0.72%     -    0s
     0     0 156072.118    0  315 157176.910 156072.118  0.70%     -    0s
     0     0 156101.514    0  313 157176.910 156101.514  0.68%     -    0s
     0     0 156221.820    0  244 157176.910 156221.820  0.61%     -    0s
     0     0 156241.600    0  246 157176.910 156241.600  0.60%     -    0s
     0     0 156266.718    0  245 157176.910 156266.718  0.58%     -    0s
     0     0 156279.406    0  246 157176.910 156279.406  0.57%     -    0s
     0     0 156303.516    0  242 157176.910 156303.516  0.56%     -    0s
     0     0 156326.614    0  244 157176.910 156326.614  0.54%     -    0s
     0     0 156340.507    0  245 157176.910 156340.507  0.53%     -    0s
     0     0 156368.284    0  246 157176.910 156368.284  0.51%     -    0s
     0     0 156390.217    0  245 157176.910 156390.217  0.50%     -    0s
     0     0 156409.486    0  241 157176.910 156409.486  0.49%     -    0s
     0     0 156423.950    0  240 157176.910 156423.950  0.48%     -    0s
     0     0 156438.543    0  243 157176.910 156438.543  0.47%     -    0s
     0     0 156446.932    0  253 157176.910 156446.932  0.46%     -    0s
     0     0 156454.991    0  252 157176.910 156454.991  0.46%     -    0s
     0     0 156462.696    0  256 157176.910 156462.696  0.45%     -    0s
     0     0 156469.805    0  247 157176.910 156469.805  0.45%     -    0s
     0     0 156482.203    0  247 157176.910 156482.203  0.44%     -    1s
     0     0 156500.167    0  248 157176.910 156500.167  0.43%     -    1s
     0     0 156516.380    0  249 157176.910 156516.380  0.42%     -    1s
     0     0 156523.657    0  256 157176.910 156523.657  0.42%     -    1s
     0     0 156533.341    0  255 157176.910 156533.341  0.41%     -    1s
     0     0 156541.926    0  249 157176.910 156541.926  0.40%     -    1s
     0     0 156562.495    0  247 157176.910 156562.495  0.39%     -    1s
     0     0 156567.821    0  251 157176.910 156567.821  0.39%     -    1s
     0     0 156576.815    0  263 157176.910 156576.815  0.38%     -    1s
     0     0 156584.708    0  265 157176.910 156584.708  0.38%     -    1s
     0     0 156592.581    0  265 157176.910 156592.581  0.37%     -    1s
     0     0 156606.617    0  264 157176.910 156606.617  0.36%     -    1s
     0     0 156608.118    0  261 157176.910 156608.118  0.36%     -    1s
     0     0 156616.892    0  263 157176.910 156616.892  0.36%     -    1s
     0     0 156621.318    0  266 157176.910 156621.318  0.35%     -    1s
     0     0 156629.274    0  262 157176.910 156629.274  0.35%     -    1s
     0     0 156637.496    0  259 157176.910 156637.496  0.34%     -    1s
     0     0 156643.840    0  261 157176.910 156643.840  0.34%     -    1s
     0     0 156648.806    0  260 157176.910 156648.806  0.34%     -    1s
     0     0 156659.008    0  268 157176.910 156659.008  0.33%     -    1s
     0     0 156664.247    0  271 157176.910 156664.247  0.33%     -    1s
     0     0 156669.706    0  269 157176.910 156669.706  0.32%     -    1s
     0     0 156676.884    0  262 157176.910 156676.884  0.32%     -    1s
     0     0 156680.273    0  266 157176.910 156680.273  0.32%     -    1s
     0     0 156683.389    0  267 157176.910 156683.389  0.31%     -    1s
     0     0 156689.328    0  267 157176.910 156689.328  0.31%     -    1s
     0     0 156694.322    0  271 157176.910 156694.322  0.31%     -    1s
     0     0 156702.329    0  276 157176.910 156702.329  0.30%     -    1s
     0     0 156709.955    0  280 157176.910 156709.955  0.30%     -    1s
     0     0 156716.843    0  278 157176.910 156716.843  0.29%     -    1s
     0     0 156722.921    0  277 157176.910 156722.921  0.29%     -    1s
     0     0 156731.214    0  275 157176.910 156731.214  0.28%     -    1s
     0     0 156734.790    0  276 157176.910 156734.790  0.28%     -    1s
