Set parameter TimeLimit to value 14400
Set parameter Threads to value 1
Set parameter MIPGap to value 0
Set parameter OutputFlag to value 1
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0
Threads  1

Optimize a model with 4081 rows, 1100 columns and 9466 nonzeros
Model fingerprint: 0xf5a21d67
Variable types: 100 continuous, 1000 integer (1000 binary)
Coefficient statistics:
  Matrix range     [1e-03, 9e+01]
  Objective range  [1e+02, 3e+02]
  Bounds range     [5e+02, 6e+02]
  RHS range        [2e-01, 7e+02]
Found heuristic solution: objective 252909.03700
Presolve removed 47 rows and 44 columns
Presolve time: 0.06s
Presolved: 4034 rows, 1056 columns, 13286 nonzeros
Variable types: 74 continuous, 982 integer (982 binary)

Root relaxation: objective 2.118770e+05, 1382 iterations, 0.08 seconds (0.09 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 211877.041    0  607 252909.037 211877.041  16.2%     -    0s
H    0     0                    222762.06780 211877.041  4.89%     -    0s
     0     0 212577.301    0  584 222762.068 212577.301  4.57%     -    0s
     0     0 212597.976    0  584 222762.068 212597.976  4.56%     -    0s
     0     0 212598.127    0  584 222762.068 212598.127  4.56%     -    0s
     0     0 213064.559    0  550 222762.068 213064.559  4.35%     -    0s
     0     0 213202.799    0  541 222762.068 213202.799  4.29%     -    0s
     0     0 214233.648    0  536 222762.068 214233.648  3.83%     -    0s
     0     0 214485.042    0  544 222762.068 214485.042  3.72%     -    0s
     0     0 214548.919    0  548 222762.068 214548.919  3.69%     -    0s
     0     0 214556.955    0  548 222762.068 214556.955  3.68%     -    0s
     0     0 214567.686    0  533 222762.068 214567.686  3.68%     -    0s
     0     0 214568.530    0  549 222762.068 214568.530  3.68%     -    0s
     0     0 215296.191    0  562 222762.068 215296.191  3.35%     -    1s
     0     0 215413.297    0  601 222762.068 215413.297  3.30%     -    1s
     0     0 215457.792    0  591 222762.068 215457.792  3.28%     -    1s
     0     0 215467.127    0  573 222762.068 215467.127  3.27%     -    1s
     0     0 215472.843    0  591 222762.068 215472.843  3.27%     -    1s
     0     0 215475.872    0  588 222762.068 215475.872  3.27%     -    1s
     0     0 215476.274    0  590 222762.068 215476.274  3.27%     -    1s
     0     0 215568.251    0  608 222762.068 215568.251  3.23%     -    1s
     0     0 215630.479    0  606 222762.068 215630.479  3.20%     -    1s
     0     0 215639.222    0  613 222762.068 215639.222  3.20%     -    1s
     0     0 215640.867    0  613 222762.068 215640.867  3.20%     -    1s
     0     0 215753.875    0  607 222762.068 215753.875  3.15%     -    2s
     0     0 215785.995    0  615 222762.068 215785.995  3.13%     -    2s
     0     0 215793.624    0  613 222762.068 215793.624  3.13%     -    2s
     0     0 215795.189    0  615 222762.068 215795.189  3.13%     -    2s
     0     0 215909.835    0  607 222762.068 215909.835  3.08%     -    2s
     0     0 215968.692    0  627 222762.068 215968.692  3.05%     -    2s
     0     0 215971.416    0  616 222762.068 215971.416  3.05%     -    2s
     0     0 216031.611    0  633 222762.068 216031.611  3.02%     -    2s
     0     0 216053.711    0  631 222762.068 216053.711  3.01%     -    2s
     0     0 216067.130    0  637 222762.068 216067.130  3.01%     -    2s
     0     0 216072.661    0  636 222762.068 216072.661  3.00%     -    2s
     0     0 216074.151    0  640 222762.068 216074.151  3.00%     -    2s
     0     0 216128.761    0  638 222762.068 216128.761  2.98%     -    2s
     0     0 216140.448    0  616 222762.068 216140.448  2.97%     -    2s
     0     0 216149.065    0  629 222762.068 216149.065  2.97%     -    2s
     0     0 216154.211    0  641 222762.068 216154.211  2.97%     -    3s
     0     0 216156.638    0  639 222762.068 216156.638  2.97%     -    3s
     0     0 216238.002    0  645 222762.068 216238.002  2.93%     -    3s
     0     0 216257.292    0  646 222762.068 216257.292  2.92%     -    3s
     0     0 216260.333    0  647 222762.068 216260.333  2.92%     -    3s
     0     0 216335.607    0  640 222762.068 216335.607  2.88%     -    3s
     0     0 216356.261    0  652 222762.068 216356.261  2.88%     -    3s
     0     0 216364.261    0  658 222762.068 216364.261  2.87%     -    3s
     0     0 216366.747    0  657 222762.068 216366.747  2.87%     -    3s
     0     0 216424.526    0  665 222762.068 216424.526  2.84%     -    3s
     0     0 216440.129    0  662 222762.068 216440.129  2.84%     -    3s
     0     0 216444.764    0  667 222762.068 216444.764  2.84%     -    3s
     0     0 216447.826    0  665 222762.068 216447.826  2.83%     -    3s
     0     0 216468.806    0  660 222762.068 216468.806  2.83%     -    4s
     0     0 216480.292    0  662 222762.068 216480.292  2.82%     -    4s
     0     0 216484.359    0  658 222762.068 216484.359  2.82%     -    4s
     0     0 216486.955    0  661 222762.068 216486.955  2.82%     -    4s
     0     0 216560.002    0  667 222762.068 216560.002  2.78%     -    4s
     0     0 216580.906    0  668 222762.068 216580.906  2.77%     -    4s
