Set parameter TimeLimit to value 14400
Set parameter Threads to value 1
Set parameter MIPGap to value 0
Set parameter OutputFlag to value 1
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0
Threads  1

Optimize a model with 3121 rows, 2150 columns and 8717 nonzeros
Model fingerprint: 0xe942c34a
Variable types: 150 continuous, 2000 integer (2000 binary)
Coefficient statistics:
  Matrix range     [5e-04, 2e+01]
  Objective range  [1e+02, 3e+02]
  Bounds range     [5e+02, 7e+02]
  RHS range        [5e-02, 7e+02]
Found heuristic solution: objective 337927.99500
Presolve removed 126 rows and 480 columns
Presolve time: 0.06s
Presolved: 2995 rows, 1670 columns, 10887 nonzeros
Variable types: 115 continuous, 1555 integer (1555 binary)

Root relaxation: objective 2.831591e+05, 1951 iterations, 0.17 seconds (0.13 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 283159.114    0  348 337927.995 283159.114  16.2%     -    0s
H    0     0                    286040.98480 283159.114  1.01%     -    0s
     0     0 283439.427    0  322 286040.985 283439.427  0.91%     -    0s
H    0     0                    285863.28240 283440.964  0.85%     -    0s
H    0     0                    285596.60320 283440.964  0.75%     -    0s
     0     0 283444.115    0  323 285596.603 283444.115  0.75%     -    0s
     0     0 283642.973    0  322 285596.603 283642.973  0.68%     -    0s
     0     0 283663.820    0  324 285596.603 283663.820  0.68%     -    0s
     0     0 284016.830    0  349 285596.603 284016.830  0.55%     -    1s
H    0     0                    285196.68240 284018.522  0.41%     -    1s
     0     0 284032.685    0  317 285196.682 284032.685  0.41%     -    1s
     0     0 284035.561    0  332 285196.682 284035.561  0.41%     -    1s
     0     0 284036.195    0  332 285196.682 284036.195  0.41%     -    1s
     0     0 284036.461    0  332 285196.682 284036.461  0.41%     -    1s
     0     0 284202.244    0  299 285196.682 284202.244  0.35%     -    1s
     0     0 284212.379    0  308 285196.682 284212.379  0.35%     -    1s
     0     0 284215.258    0  308 285196.682 284215.258  0.34%     -    1s
     0     0 284217.079    0  308 285196.682 284217.079  0.34%     -    1s
     0     0 284217.165    0  308 285196.682 284217.165  0.34%     -    1s
     0     0 284265.220    0  346 285196.682 284265.220  0.33%     -    1s
     0     0 284271.066    0  323 285196.682 284271.066  0.32%     -    1s
     0     0 284272.865    0  324 285196.682 284272.865  0.32%     -    1s
     0     0 284273.077    0  323 285196.682 284273.077  0.32%     -    1s
     0     0 284309.439    0  349 285196.682 284309.439  0.31%     -    1s
     0     0 284317.712    0  351 285196.682 284317.712  0.31%     -    2s
     0     0 284319.273    0  351 285196.682 284319.273  0.31%     -    2s
     0     0 284319.797    0  350 285196.682 284319.797  0.31%     -    2s
     0     0 284341.184    0  350 285196.682 284341.184  0.30%     -    2s
     0     0 284348.047    0  327 285196.682 284348.047  0.30%     -    2s
     0     0 284349.474    0  356 285196.682 284349.474  0.30%     -    2s
     0     0 284349.955    0  326 285196.682 284349.955  0.30%     -    2s
     0     0 284362.210    0  351 285196.682 284362.210  0.29%     -    2s
     0     0 284377.740    0  345 285196.682 284377.740  0.29%     -    2s
     0     0 284380.249    0  353 285196.682 284380.249  0.29%     -    2s
     0     0 284380.818    0  373 285196.682 284380.818  0.29%     -    2s
     0     0 284392.507    0  311 285196.682 284392.507  0.28%     -    2s
     0     0 284397.454    0  278 285196.682 284397.454  0.28%     -    2s
     0     0 284402.271    0  316 285196.682 284402.271  0.28%     -    2s
     0     0 284403.172    0  315 285196.682 284403.172  0.28%     -    2s
     0     0 284411.408    0  360 285196.682 284411.408  0.28%     -    2s
     0     0 284420.937    0  300 285196.682 284420.937  0.27%     -    3s
     0     0 284422.456    0  302 285196.682 284422.456  0.27%     -    3s
     0     0 284422.992    0  330 285196.682 284422.992  0.27%     -    3s
     0     0 284441.732    0  340 285196.682 284441.732  0.26%     -    3s
     0     0 284444.291    0  316 285196.682 284444.291  0.26%     -    3s
     0     0 284444.790    0  317 285196.682 284444.790  0.26%     -    3s
     0     0 284455.065    0  316 285196.682 284455.065  0.26%     -    3s
     0     0 284459.118    0  310 285196.682 284459.118  0.26%     -    3s
     0     0 284464.032    0  311 285196.682 284464.032  0.26%     -    3s
     0     0 284464.931    0  316 285196.682 284464.931  0.26%     -    3s
     0     0 284487.176    0  364 285196.682 284487.176  0.25%     -    3s
H    0     0                    285188.00320 284487.231  0.25%     -    3s
H    0     0                    285177.88240 284487.231  0.24%     -    3s
H    0     0                    285174.98480 284487.231  0.24%     -    3s
     0     0 284489.456    0  338 285174.985 284489.456  0.24%     -    4s
     0     0 284491.198    0  362 285174.985 284491.198  0.24%     -    4s
     0     0 284491.752    0  364 285174.985 284491.752  0.24%     -    4s
     0     0 284508.119    0  373 285174.985 284508.119  0.23%     -    4s
     0     0 284513.339    0  380 285174.985 284513.339  0.23%     -    4s
