Set parameter TimeLimit to value 14400
Set parameter Threads to value 1
Set parameter MIPGap to value 0
Set parameter OutputFlag to value 1
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0
Threads  1

Optimize a model with 4621 rows, 3150 columns and 12707 nonzeros
Model fingerprint: 0x58c595a6
Variable types: 150 continuous, 3000 integer (3000 binary)
Coefficient statistics:
  Matrix range     [3e-04, 2e+01]
  Objective range  [1e+02, 3e+02]
  Bounds range     [5e+02, 7e+02]
  RHS range        [5e-02, 7e+02]
Found heuristic solution: objective 230759.59600
Presolve removed 136 rows and 688 columns
Presolve time: 0.02s
Presolved: 4485 rows, 2462 columns, 11887 nonzeros
Variable types: 115 continuous, 2347 integer (2347 binary)

Root relaxation: objective 2.113600e+05, 4052 iterations, 0.28 seconds (0.37 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 211359.965    0  633 230759.596 211359.965  8.41%     -    0s
H    0     0                    213575.30400 211359.965  1.04%     -    0s
     0     0 211602.965    0  545 213575.304 211602.965  0.92%     -    0s
H    0     0                    213429.07200 211603.045  0.86%     -    0s
     0     0 211647.373    0  548 213429.072 211647.373  0.83%     -    0s
     0     0 211648.856    0  548 213429.072 211648.856  0.83%     -    0s
     0     0 211649.111    0  548 213429.072 211649.111  0.83%     -    0s
     0     0 211780.774    0  555 213429.072 211780.774  0.77%     -    0s
     0     0 211798.910    0  561 213429.072 211798.910  0.76%     -    0s
     0     0 211800.316    0  561 213429.072 211800.316  0.76%     -    0s
     0     0 211800.520    0  561 213429.072 211800.520  0.76%     -    0s
     0     0 212004.004    0  509 213429.072 212004.004  0.67%     -    1s
H    0     0                    213175.78200 212004.135  0.55%     -    1s
     0     0 212051.676    0  522 213175.782 212051.676  0.53%     -    1s
     0     0 212057.118    0  525 213175.782 212057.118  0.52%     -    1s
     0     0 212059.502    0  519 213175.782 212059.502  0.52%     -    1s
     0     0 212059.807    0  519 213175.782 212059.807  0.52%     -    1s
     0     0 212131.964    0  577 213175.782 212131.964  0.49%     -    1s
     0     0 212147.043    0  571 213175.782 212147.043  0.48%     -    1s
     0     0 212152.382    0  495 213175.782 212152.382  0.48%     -    1s
     0     0 212154.098    0  549 213175.782 212154.098  0.48%     -    1s
     0     0 212154.729    0  568 213175.782 212154.729  0.48%     -    1s
     0     0 212179.808    0  579 213175.782 212179.808  0.47%     -    2s
     0     0 212189.207    0  532 213175.782 212189.207  0.46%     -    2s
     0     0 212193.792    0  540 213175.782 212193.792  0.46%     -    2s
     0     0 212194.384    0  534 213175.782 212194.384  0.46%     -    2s
     0     0 212216.655    0  618 213175.782 212216.655  0.45%     -    2s
     0     0 212225.429    0  579 213175.782 212225.429  0.45%     -    2s
     0     0 212227.672    0  630 213175.782 212227.672  0.44%     -    2s
     0     0 212229.020    0  624 213175.782 212229.020  0.44%     -    2s
     0     0 212229.704    0  629 213175.782 212229.704  0.44%     -    2s
     0     0 212247.856    0  613 213175.782 212247.856  0.44%     -    2s
     0     0 212255.277    0  633 213175.782 212255.277  0.43%     -    2s
     0     0 212257.411    0  615 213175.782 212257.411  0.43%     -    2s
     0     0 212257.766    0  620 213175.782 212257.766  0.43%     -    2s
     0     0 212280.120    0  649 213175.782 212280.120  0.42%     -    3s
     0     0 212286.608    0  645 213175.782 212286.608  0.42%     -    3s
     0     0 212289.922    0  640 213175.782 212289.922  0.42%     -    3s
     0     0 212291.344    0  681 213175.782 212291.344  0.41%     -    3s
     0     0 212291.721    0  658 213175.782 212291.721  0.41%     -    3s
     0     0 212305.190    0  693 213175.782 212305.190  0.41%     -    3s
H    0     0                    213059.51700 212305.203  0.35%     -    3s
     0     0 212308.692    0  655 213059.517 212308.692  0.35%     -    3s
     0     0 212309.573    0  685 213059.517 212309.573  0.35%     -    3s
     0     0 212321.516    0  654 213059.517 212321.516  0.35%     -    3s
     0     0 212324.932    0  690 213059.517 212324.932  0.34%     -    3s
     0     0 212327.327    0  658 213059.517 212327.327  0.34%     -    3s
     0     0 212328.564    0  662 213059.517 212328.564  0.34%     -    4s
     0     0 212329.094    0  664 213059.517 212329.094  0.34%     -    4s
     0     0 212343.371    0  673 213059.517 212343.371  0.34%     -    4s
H    0     0                    212998.51700 212343.431  0.31%     -    4s
     0     0 212352.242    0  677 212998.517 212352.242  0.30%     -    4s
     0     0 212353.871    0  682 212998.517 212353.871  0.30%     -    4s
     0     0 212354.279    0  682 212998.517 212354.279  0.30%     -    4s
     0     0 212363.006    0  690 212998.517 212363.006  0.30%     -    4s
     0     0 212366.747    0  572 212998.517 212366.747  0.30%     -    5s
     0     0 212368.056    0  608 212998.517 212368.056  0.30%     -    5s
     0     0 212369.271    0  611 212998.517 212369.271  0.30%     -    5s
