Set parameter TimeLimit to value 14400
Set parameter Threads to value 1
Set parameter MIPGap to value 0
Set parameter OutputFlag to value 1
Set parameter PreCrush to value 1
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0
PreCrush  1
Threads  1

Optimize a model with 4081 rows, 2100 columns and 10421 nonzeros
Model fingerprint: 0x847cb0a7
Variable types: 100 continuous, 2000 integer (2000 binary)
Coefficient statistics:
  Matrix range     [5e-04, 5e+01]
  Objective range  [1e+02, 3e+02]
  Bounds range     [5e+02, 7e+02]
  RHS range        [1e-01, 7e+02]
Found heuristic solution: objective 282831.06700
Presolve removed 92 rows and 276 columns
Presolve time: 0.02s
Presolved: 3989 rows, 1824 columns, 10056 nonzeros
Variable types: 74 continuous, 1750 integer (1750 binary)

Root relaxation: objective 1.927707e+05, 3040 iterations, 0.16 seconds (0.22 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 192770.731    0  653 282831.067 192770.731  31.8%     -    0s
H    0     0                    198430.62460 192770.731  2.85%     -    0s
H    0     0                    197352.63060 192770.731  2.32%     -    0s
H    0     0                    197140.23060 192770.731  2.22%     -    0s
     0     0 193251.053    0  608 197140.231 193251.053  1.97%     -    0s
H    0     0                    196940.83060 193251.131  1.87%     -    0s
     0     0 193310.084    0  617 196940.831 193310.084  1.84%     -    0s
     0     0 193355.992    0  594 196940.831 193355.992  1.82%     -    0s
     0     0 193417.353    0  591 196940.831 193417.353  1.79%     -    0s
     0     0 193452.438    0  602 196940.831 193452.438  1.77%     -    0s
     0     0 193500.027    0  602 196940.831 193500.027  1.75%     -    0s
     0     0 193552.093    0  606 196940.831 193552.093  1.72%     -    0s
     0     0 193607.347    0  610 196940.831 193607.347  1.69%     -    0s
     0     0 193656.977    0  578 196940.831 193656.977  1.67%     -    0s
     0     0 193713.098    0  588 196940.831 193713.098  1.64%     -    0s
     0     0 193760.065    0  610 196940.831 193760.065  1.62%     -    0s
     0     0 193809.500    0  617 196940.831 193809.500  1.59%     -    0s
     0     0 193857.785    0  591 196940.831 193857.785  1.57%     -    0s
     0     0 193904.727    0  565 196940.831 193904.727  1.54%     -    1s
     0     0 193935.619    0  607 196940.831 193935.619  1.53%     -    1s
     0     0 193961.529    0  625 196940.831 193961.529  1.51%     -    1s
     0     0 194001.084    0  593 196940.831 194001.084  1.49%     -    1s
     0     0 194033.715    0  613 196940.831 194033.715  1.48%     -    1s
     0     0 194080.650    0  620 196940.831 194080.650  1.45%     -    1s
     0     0 194125.530    0  616 196940.831 194125.530  1.43%     -    1s
     0     0 194169.502    0  606 196940.831 194169.502  1.41%     -    1s
     0     0 194194.409    0  634 196940.831 194194.409  1.39%     -    1s
     0     0 194243.558    0  629 196940.831 194243.558  1.37%     -    1s
     0     0 194271.748    0  606 196940.831 194271.748  1.36%     -    1s
     0     0 194300.673    0  606 196940.831 194300.673  1.34%     -    1s
     0     0 194337.734    0  574 196940.831 194337.734  1.32%     -    1s
     0     0 194359.813    0  580 196940.831 194359.813  1.31%     -    1s
     0     0 194381.583    0  593 196940.831 194381.583  1.30%     -    1s
     0     0 194402.803    0  600 196940.831 194402.803  1.29%     -    1s
     0     0 194428.336    0  598 196940.831 194428.336  1.28%     -    1s
     0     0 194453.344    0  620 196940.831 194453.344  1.26%     -    1s
     0     0 194478.331    0  581 196940.831 194478.331  1.25%     -    1s
     0     0 194488.381    0  609 196940.831 194488.381  1.25%     -    1s
     0     0 194513.503    0  595 196940.831 194513.503  1.23%     -    1s
     0     0 194542.509    0  633 196940.831 194542.509  1.22%     -    1s
     0     0 194569.067    0  610 196940.831 194569.067  1.20%     -    1s
     0     0 194589.472    0  601 196940.831 194589.472  1.19%     -    1s
     0     0 194609.290    0  645 196940.831 194609.290  1.18%     -    1s
     0     0 194628.251    0  638 196940.831 194628.251  1.17%     -    1s
     0     0 194652.906    0  636 196940.831 194652.906  1.16%     -    1s
     0     0 194677.549    0  648 196940.831 194677.549  1.15%     -    1s
     0     0 194705.708    0  630 196940.831 194705.708  1.13%     -    1s
     0     0 194717.232    0  637 196940.831 194717.232  1.13%     -    1s
     0     0 194742.821    0  667 196940.831 194742.821  1.12%     -    1s
     0     0 194753.057    0  643 196940.831 194753.057  1.11%     -    1s
     0     0 194770.884    0  665 196940.831 194770.884  1.10%     -    1s
     0     0 194781.374    0  658 196940.831 194781.374  1.10%     -    1s
     0     0 194785.467    0  659 196940.831 194785.467  1.09%     -    1s
     0     0 194797.925    0  667 196940.831 194797.925  1.09%     -    1s
     0     0 194804.419    0  639 196940.831 194804.419  1.08%     -    1s
     0     0 194816.098    0  662 196940.831 194816.098  1.08%     -    1s
     0     0 194836.584    0  632 196940.831 194836.584  1.07%     -    2s
     0     0 194843.821    0  646 196940.831 194843.821  1.06%     -    2s
