Set parameter TimeLimit to value 14400
Set parameter Threads to value 1
Set parameter MIPGap to value 0
Set parameter OutputFlag to value 1
Set parameter PreCrush to value 1
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0
PreCrush  1
Threads  1

Optimize a model with 28259 rows, 2000 columns and 58735 nonzeros
Model fingerprint: 0x27fba8cc
Variable types: 650 continuous, 1350 integer (1350 binary)
Coefficient statistics:
  Matrix range     [1e-04, 6e+01]
  Objective range  [8e-01, 1e+00]
  Bounds range     [8e+01, 2e+02]
  RHS range        [1e-01, 2e+02]
Found heuristic solution: objective 2538.1921787
Presolve removed 50 rows and 621 columns
Presolve time: 0.42s
Presolved: 28209 rows, 1379 columns, 57765 nonzeros
Found heuristic solution: objective 2240.8784651
Variable types: 30 continuous, 1349 integer (1349 binary)
Root relaxation presolved: 28209 rows, 1379 columns, 57765 nonzeros


Root relaxation: objective 1.931652e+03, 1213 iterations, 0.32 seconds (0.31 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1931.65163    0  746 2240.87847 1931.65163  13.8%     -    1s
H    0     0                    2031.3592632 1931.65163  4.91%     -    1s
H    0     0                    2031.0010863 1931.65163  4.89%     -    1s
H    0     0                    2030.7424382 1931.65163  4.88%     -    1s
H    0     0                    2029.7599383 1931.65163  4.83%     -    1s
H    0     0                    2029.3761526 1931.65163  4.82%     -    1s
H    0     0                    2029.3115937 1931.65163  4.81%     -    1s
H    0     0                    2029.2418812 1931.65163  4.81%     -    1s
H    0     0                    2029.0256769 1931.65163  4.80%     -    1s
     0     0 1967.51106    0  562 2029.02568 1967.51106  3.03%     -    3s
     0     0 1977.16557    0  503 2029.02568 1977.16557  2.56%     -    3s
     0     0 1984.88116    0  496 2029.02568 1984.88116  2.18%     -    3s
     0     0 1990.42175    0  495 2029.02568 1990.42175  1.90%     -    4s
     0     0 1995.07395    0  500 2029.02568 1995.07395  1.67%     -    4s
     0     0 1999.21493    0  481 2029.02568 1999.21493  1.47%     -    4s
     0     0 2002.56935    0  511 2029.02568 2002.56935  1.30%     -    4s
     0     0 2005.95564    0  509 2029.02568 2005.95564  1.14%     -    4s
     0     0 2008.41545    0  529 2029.02568 2008.41545  1.02%     -    5s
     0     0 2010.29473    0  514 2029.02568 2010.29473  0.92%     -    5s
     0     0 2012.12288    0  540 2029.02568 2012.12288  0.83%     -    5s
     0     0 2013.17007    0  547 2029.02568 2013.17007  0.78%     -    6s
     0     0 2014.69227    0  570 2029.02568 2014.69227  0.71%     -    6s
     0     0 2015.78294    0  576 2029.02568 2015.78294  0.65%     -    7s
     0     0 2016.77554    0  584 2029.02568 2016.77554  0.60%     -    7s
     0     0 2017.45595    0  595 2029.02568 2017.45595  0.57%     -    8s
     0     0 2018.12945    0  584 2029.02568 2018.12945  0.54%     -    8s
     0     0 2018.48683    0  604 2029.02568 2018.48683  0.52%     -    9s
     0     0 2018.97146    0  597 2029.02568 2018.97146  0.50%     -    9s
     0     0 2019.56877    0  617 2029.02568 2019.56877  0.47%     -   10s
     0     0 2020.09059    0  624 2029.02568 2020.09059  0.44%     -   10s
     0     0 2020.48453    0  634 2029.02568 2020.48453  0.42%     -   11s
     0     0 2020.83887    0  627 2029.02568 2020.83887  0.40%     -   11s
     0     0 2021.19853    0  641 2029.02568 2021.19853  0.39%     -   12s
     0     0 2021.62042    0  611 2029.02568 2021.62042  0.36%     -   13s
     0     0 2021.87713    0  656 2029.02568 2021.87713  0.35%     -   13s
     0     0 2022.15010    0  645 2029.02568 2022.15010  0.34%     -   14s
     0     0 2022.49222    0  663 2029.02568 2022.49222  0.32%     -   15s
     0     0 2022.72554    0  670 2029.02568 2022.72554  0.31%     -   15s
     0     0 2022.94066    0  667 2029.02568 2022.94066  0.30%     -   16s
     0     0 2023.17385    0  660 2029.02568 2023.17385  0.29%     -   17s
     0     0 2023.36543    0  679 2029.02568 2023.36543  0.28%     -   18s
     0     0 2023.50521    0  680 2029.02568 2023.50521  0.27%     -   18s
     0     0 2023.63560    0  679 2029.02568 2023.63560  0.27%     -   19s
     0     0 2023.81607    0  665 2029.02568 2023.81607  0.26%     -   19s
     0     0 2023.97284    0  656 2029.02568 2023.97284  0.25%     -   20s
     0     0 2024.04744    0  688 2029.02568 2024.04744  0.25%     -   21s
     0     0 2024.15804    0  676 2029.02568 2024.15804  0.24%     -   22s
     0     0 2024.26526    0  684 2029.02568 2024.26526  0.23%     -   23s
     0     0 2024.38595    0  674 2029.02568 2024.38595  0.23%     -   24s
     0     0 2024.50186    0  698 2029.02568 2024.50186  0.22%     -   24s
     0     0 2024.59437    0  701 2029.02568 2024.59437  0.22%     -   25s
     0     0 2024.69783    0  698 2029.02568 2024.69783  0.21%     -   26s
