Set parameter TimeLimit to value 14400
Set parameter Threads to value 1
Set parameter MIPGap to value 0
Set parameter OutputFlag to value 1
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0
Threads  1

Optimize a model with 40151 rows, 7150 columns and 89997 nonzeros
Model fingerprint: 0x5b53b6fb
Variable types: 5150 continuous, 2000 integer (2000 binary)
Coefficient statistics:
  Matrix range     [1e-04, 5e+01]
  Objective range  [8e-01, 1e+00]
  Bounds range     [5e+01, 2e+02]
  RHS range        [2e-01, 3e+02]
Found heuristic solution: objective 8127.8666263
Presolve removed 150 rows and 5301 columns
Presolve time: 0.46s
Presolved: 40001 rows, 1849 columns, 120957 nonzeros
Found heuristic solution: objective 7353.9548934
Variable types: 100 continuous, 1749 integer (1749 binary)
Root relaxation presolved: 1849 rows, 41850 columns, 122806 nonzeros


Root relaxation: objective 6.383064e+03, 4403 iterations, 0.78 seconds (0.93 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 6383.06447    0  979 7353.95489 6383.06447  13.2%     -    1s
H    0     0                    6791.4303590 6383.06447  6.01%     -    1s
H    0     0                    6791.2557630 6383.06447  6.01%     -    1s
H    0     0                    6791.2061546 6383.06447  6.01%     -    1s
H    0     0                    6790.9451160 6383.06447  6.01%     -    1s
     0     0 6460.42437    0  867 6790.94512 6460.42437  4.87%     -    3s
     0     0 6460.83639    0  860 6790.94512 6460.83639  4.86%     -    4s
     0     0 6461.04084    0  861 6790.94512 6461.04084  4.86%     -    4s
     0     0 6529.90478    0  723 6790.94512 6529.90478  3.84%     -    5s
H    0     0                    6790.8422469 6530.15153  3.84%     -    5s
H    0     0                    6790.7443343 6530.15153  3.84%     -    5s
H    0     0                    6790.6894697 6530.15153  3.84%     -    6s
     0     0 6544.14222    0  775 6790.68947 6544.14222  3.63%     -    6s
     0     0 6544.86377    0  773 6790.68947 6544.86377  3.62%     -    6s
     0     0 6544.95949    0  773 6790.68947 6544.95949  3.62%     -    6s
     0     0 6545.00603    0  773 6790.68947 6545.00603  3.62%     -    6s
     0     0 6545.01365    0  773 6790.68947 6545.01365  3.62%     -    6s
     0     0 6623.65466    0  859 6790.68947 6623.65466  2.46%     -   10s
H    0     0                    6790.6736785 6623.65787  2.46%     -   10s
     0     0 6630.63714    0  876 6790.67368 6630.63714  2.36%     -   11s
     0     0 6632.28905    0  875 6790.67368 6632.28905  2.33%     -   12s
     0     0 6632.80995    0  884 6790.67368 6632.80995  2.32%     -   12s
     0     0 6633.13978    0  880 6790.67368 6633.13978  2.32%     -   12s
     0     0 6633.29162    0  888 6790.67368 6633.29162  2.32%     -   12s
     0     0 6633.40429    0  889 6790.67368 6633.40429  2.32%     -   13s
     0     0 6633.43986    0  891 6790.67368 6633.43986  2.32%     -   13s
     0     0 6663.63915    0  863 6790.67368 6663.63915  1.87%     -   17s
H    0     0                    6789.6818905 6663.66652  1.86%     -   17s
     0     0 6667.63929    0  870 6789.68189 6667.63929  1.80%     -   19s
     0     0 6668.81305    0  875 6789.68189 6668.81305  1.78%     -   19s
     0     0 6669.22352    0  875 6789.68189 6669.22352  1.77%     -   20s
     0     0 6669.36242    0  881 6789.68189 6669.36242  1.77%     -   20s
     0     0 6669.45802    0  880 6789.68189 6669.45802  1.77%     -   20s
     0     0 6669.50224    0  885 6789.68189 6669.50224  1.77%     -   20s
     0     0 6676.83236    0  835 6789.68189 6676.83236  1.66%     -   24s
H    0     0                    6778.9996438 6676.83662  1.51%     -   24s
     0     0 6679.87516    0  859 6778.99964 6679.87516  1.46%     -   26s
     0     0 6680.76379    0  863 6778.99964 6680.76379  1.45%     -   26s
     0     0 6681.13404    0  870 6778.99964 6681.13404  1.44%     -   27s
     0     0 6681.25761    0  883 6778.99964 6681.25761  1.44%     -   27s
     0     0 6681.31019    0  878 6778.99964 6681.31019  1.44%     -   27s
     0     0 6687.33990    0  849 6778.99964 6687.33990  1.35%     -   30s
H    0     0                    6776.6926792 6687.34061  1.32%     -   31s
H    0     0                    6775.1219713 6687.34061  1.30%     -   31s
H    0     0                    6774.0748095 6687.34061  1.28%     -   31s
     0     0 6689.46714    0  894 6774.07481 6689.46714  1.25%     -   32s
     0     0 6690.12594    0  889 6774.07481 6690.12594  1.24%     -   33s
     0     0 6690.40046    0  901 6774.07481 6690.40046  1.24%     -   34s
     0     0 6690.57305    0  903 6774.07481 6690.57305  1.23%     -   34s
     0     0 6690.66112    0  901 6774.07481 6690.66112  1.23%     -   34s
     0     0 6690.70329    0  905 6774.07481 6690.70329  1.23%     -   35s
     0     0 6694.74434    0  837 6774.07481 6694.74434  1.17%     -   37s
     0     0 6696.48344    0  871 6774.07481 6696.48344  1.15%     -   39s
     0     0 6696.99770    0  871 6774.07481 6696.99770  1.14%     -   40s
