Set parameter TimeLimit to value 14400
Set parameter Threads to value 1
Set parameter MIPGap to value 0
Set parameter OutputFlag to value 1
Set parameter PreCrush to value 1
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0
PreCrush  1
Threads  1

Optimize a model with 13551 rows, 3650 columns and 30969 nonzeros
Model fingerprint: 0xd3e32868
Variable types: 650 continuous, 3000 integer (3000 binary)
Coefficient statistics:
  Matrix range     [3e-04, 6e+01]
  Objective range  [8e-01, 1e+00]
  Bounds range     [8e+01, 2e+02]
  RHS range        [1e-01, 2e+02]
Found heuristic solution: objective 2567.5482518
Presolve removed 50 rows and 1588 columns
Presolve time: 0.06s
Presolved: 13501 rows, 2062 columns, 29032 nonzeros
Found heuristic solution: objective 2266.4801293
Variable types: 30 continuous, 2032 integer (2032 binary)
Root relaxation presolved: 13501 rows, 2062 columns, 29032 nonzeros


Root relaxation: objective 1.933870e+03, 2526 iterations, 0.29 seconds (0.25 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1933.87044    0 1109 2266.48013 1933.87044  14.7%     -    0s
H    0     0                    2042.9644097 1933.87044  5.34%     -    0s
H    0     0                    2042.9588850 1933.87044  5.34%     -    0s
H    0     0                    2042.6823629 1933.87044  5.33%     -    0s
     0     0 1947.76286    0  948 2042.68236 1947.76286  4.65%     -    1s
H    0     0                    2042.5889574 1947.82843  4.64%     -    1s
     0     0 1953.28204    0  928 2042.58896 1953.28204  4.37%     -    1s
     0     0 1958.81168    0  913 2042.58896 1958.81168  4.10%     -    1s
     0     0 1964.30432    0  923 2042.58896 1964.30432  3.83%     -    2s
     0     0 1969.68885    0  917 2042.58896 1969.68885  3.57%     -    2s
     0     0 1975.06118    0  894 2042.58896 1975.06118  3.31%     -    2s
     0     0 1979.80937    0  891 2042.58896 1979.80937  3.07%     -    2s
     0     0 1984.59062    0  872 2042.58896 1984.59062  2.84%     -    2s
     0     0 1988.91641    0  859 2042.58896 1988.91641  2.63%     -    2s
     0     0 1992.84905    0  841 2042.58896 1992.84905  2.44%     -    2s
     0     0 1996.59276    0  838 2042.58896 1996.59276  2.25%     -    2s
     0     0 1999.77901    0  824 2042.58896 1999.77901  2.10%     -    3s
     0     0 2002.48023    0  822 2042.58896 2002.48023  1.96%     -    3s
     0     0 2004.92833    0  814 2042.58896 2004.92833  1.84%     -    3s
     0     0 2007.48533    0  799 2042.58896 2007.48533  1.72%     -    3s
     0     0 2009.65037    0  803 2042.58896 2009.65037  1.61%     -    3s
     0     0 2011.93379    0  801 2042.58896 2011.93379  1.50%     -    3s
     0     0 2013.92586    0  798 2042.58896 2013.92586  1.40%     -    3s
     0     0 2015.22709    0  790 2042.58896 2015.22709  1.34%     -    4s
     0     0 2016.52579    0  786 2042.58896 2016.52579  1.28%     -    4s
     0     0 2017.34814    0  776 2042.58896 2017.34814  1.24%     -    4s
     0     0 2017.97504    0  779 2042.58896 2017.97504  1.21%     -    4s
     0     0 2018.53174    0  777 2042.58896 2018.53174  1.18%     -    5s
     0     0 2019.18064    0  783 2042.58896 2019.18064  1.15%     -    5s
     0     0 2020.09015    0  781 2042.58896 2020.09015  1.10%     -    5s
     0     0 2020.65556    0  785 2042.58896 2020.65556  1.07%     -    5s
     0     0 2021.11422    0  792 2042.58896 2021.11422  1.05%     -    6s
     0     0 2021.42441    0  801 2042.58896 2021.42441  1.04%     -    6s
     0     0 2022.10411    0  811 2042.58896 2022.10411  1.00%     -    6s
     0     0 2022.67611    0  803 2042.58896 2022.67611  0.97%     -    7s
     0     0 2022.94759    0  808 2042.58896 2022.94759  0.96%     -    7s
     0     0 2023.37126    0  824 2042.58896 2023.37126  0.94%     -    7s
     0     0 2023.73207    0  831 2042.58896 2023.73207  0.92%     -    8s
     0     0 2023.98056    0  826 2042.58896 2023.98056  0.91%     -    8s
     0     0 2024.24416    0  830 2042.58896 2024.24416  0.90%     -    8s
     0     0 2024.51790    0  827 2042.58896 2024.51790  0.88%     -    9s
     0     0 2024.79803    0  834 2042.58896 2024.79803  0.87%     -    9s
     0     0 2024.96160    0  859 2042.58896 2024.96160  0.86%     -    9s
     0     0 2025.20376    0  861 2042.58896 2025.20376  0.85%     -   10s
     0     0 2025.40461    0  865 2042.58896 2025.40461  0.84%     -   10s
     0     0 2025.63233    0  875 2042.58896 2025.63233  0.83%     -   11s
     0     0 2025.84684    0  868 2042.58896 2025.84684  0.82%     -   11s
     0     0 2025.93200    0  873 2042.58896 2025.93200  0.82%     -   12s
     0     0 2026.12584    0  883 2042.58896 2026.12584  0.81%     -   12s
     0     0 2026.36128    0  883 2042.58896 2026.36128  0.79%     -   13s
     0     0 2026.50647    0  876 2042.58896 2026.50647  0.79%     -   13s
     0     0 2026.68154    0  887 2042.58896 2026.68154  0.78%     -   13s
