***************************************
*         SCIP-based CCP Solver       *
*                                     *
*    Wei Lv and Wei-Kun Chen (2024)   *
***************************************
/beegfs/home/30150120/SCIP-CCP/build/ccp -f data/CCRPData/20-30-3000-1.ccrp -s settings/CCRPSetting/BASE+DB2.set 
SCIP version 9.1.0 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: Soplex 7.1.0] [GitHash: 8cab0278ba]
Copyright (c) 2002-2024 Zuse Institute Berlin (ZIB)

External libraries: 
  Soplex 7.1.0         Linear Programming Solver developed at Zuse Institute Berlin (soplex.zib.de) [GitHash: 595bfac9]
  CppAD 20180000.0     Algorithmic Differentiation of C++ algorithms developed by B. Bell (github.com/coin-or/CppAD)
  ZLIB 1.2.7           General purpose compression library by J. Gailly and M. Adler (zlib.net)
  GMP 6.2.1            GNU Multiple Precision Arithmetic Library developed by T. Granlund (gmplib.org)
  AMPL/MP 690e9e7      AMPL .nl file reader library (github.com/ampl/mp)
  PaPILO 2.3.0         parallel presolve for integer and linear optimization (github.com/scipopt/papilo) (built with TBB) [GitHash: 4b8ce6ed]
  Nauty 2.8.8          Computing Graph Automorphism Groups by Brendan D. McKay (users.cecs.anu.edu.au/~bdm/nauty)
  sassy 1.1            Symmetry preprocessor by Markus Anders (github.com/markusa4/sassy)

reading user parameter file <settings/CCRPSetting/BASE+DB2.set>

read problem <data/CCRPData/20-30-3000-1.ccrp>
============

File name: 	data/CCRPData/20-30-3000-1.ccrp
Problem name:	CCRPData/20-30-3000-1
NumResource: 	20
Dimension: 	30
NumScenario: 	3000
ConfidenceParameter: 	0.20
IsEqualProbability: 	1
BASE+DI: 	0
BASE+sDI: 	0
BASE+DB: 	1
BASE+DB+OPF: 	0
Dominance and Aggregation Statistics......
NumEdge:        2342704
NumBiEdge: 	248865
NumDomIneqs: 	2093839
DominanceRatio: 0.4655
NumAggScenario: 2295 
BasicNumScenario: 2294 
Propagator Statistics......
NumBasicDomIneqs: 225410
NumNonReDomIneqs: 58815
Duration: 1.1300 s 

original problem has 2945 variables (2295 bin, 0 int, 0 impl, 650 cont) and 18052 constraints

solve problem
=============

presolving:
(round 1, fast)       282 del vars, 0 del conss, 0 add conss, 30 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 39264 clqs
   (0.1s) running MILP presolver
   (0.2s) MILP presolver (3 rounds): 49 aggregations, 288 fixings, 0 bound changes
(round 2, medium)     619 del vars, 0 del conss, 0 add conss, 30 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 39264 clqs
(round 3, fast)       619 del vars, 49 del conss, 0 add conss, 30 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 39264 clqs
(round 4, fast)       619 del vars, 49 del conss, 0 add conss, 59 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 39264 clqs
(round 5, exhaustive) 619 del vars, 49 del conss, 0 add conss, 59 chg bounds, 0 chg sides, 0 chg coeffs, 18000 upgd conss, 0 impls, 39264 clqs
   (1.5s) probing: 1000/2294 (43.6%) - 0 fixings, 0 aggregations, 104545 implications, 0 bound changes
   (1.5s) probing: 1001/2294 (43.6%) - 0 fixings, 0 aggregations, 104693 implications, 0 bound changes
   (1.5s) probing aborted: 1000/1000 successive useless probings
   (1.5s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   Symmetry detection interrupted: constraints of type chancecons do not provide symmetry information.
   If symmetries shall be detected, implement the CONSGETPERMSYMGRAPH callback.
   (1.5s) could not compute symmetry
presolving (6 rounds: 6 fast, 3 medium, 2 exhaustive):
 619 deleted vars, 49 deleted constraints, 0 added constraints, 59 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 18000 implications, 39264 cliques
presolved problem has 2326 variables (2294 bin, 0 int, 0 impl, 32 cont) and 18003 constraints
      1 constraints of type <chancecons>
  18000 constraints of type <varbound>
      1 constraints of type <knapsack>
      1 constraints of type <linear>
Presolving Time: 1.47

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
p 1.6s|     1 |     0 |     1 |     - |   locks|   0 |2326 |  18k|  18k|   0 |  0 |   0 |   0 | 1.706384e+03 | 2.112616e+03 |  23.81%| unknown
  2.8s|     1 |     0 |  3585 |     - |   245M |   0 |2326 |  18k|  18k|   0 |  0 |   3 |   0 | 1.895407e+03 | 2.112616e+03 |  11.46%| unknown
r 2.9s|     1 |     0 |  3585 |     - |shifting|   0 |2326 |  18k|  18k|   0 |  0 |   3 |   0 | 1.895407e+03 | 2.111244e+03 |  11.39%| unknown
  3.3s|     1 |     0 |  4212 |     - |   247M |   0 |2326 |  18k|  18k|  31 |  1 |   3 |   0 | 1.910750e+03 | 2.111244e+03 |  10.49%| unknown
  3.7s|     1 |     0 |  4908 |     - |   251M |   0 |2326 |  18k|  18k| 104 |  2 |   3 |   0 | 1.922847e+03 | 2.111244e+03 |   9.80%| unknown
  4.2s|     1 |     0 |  5730 |     - |   253M |   0 |2326 |  18k|  18k| 207 |  3 |   3 |   0 | 1.934640e+03 | 2.111244e+03 |   9.13%| unknown
  4.8s|     1 |     0 |  6540 |     - |   256M |   0 |2326 |  18k|  18k| 312 |  4 |   3 |   0 | 1.943668e+03 | 2.111244e+03 |   8.62%| unknown
  5.4s|     1 |     0 |  7476 |     - |   260M |   0 |2326 |  18k|  18k| 426 |  5 |   3 |   0 | 1.951460e+03 | 2.111244e+03 |   8.19%| unknown
  5.9s|     1 |     0 |  8208 |     - |   263M |   0 |2326 |  18k|  18k| 537 |  6 |   3 |   0 | 1.956589e+03 | 2.111244e+03 |   7.90%| unknown
  6.5s|     1 |     0 |  9006 |     - |   266M |   0 |2326 |  18k|  18k| 645 |  7 |   3 |   0 | 1.960952e+03 | 2.111244e+03 |   7.66%| unknown
  7.1s|     1 |     0 |  9873 |     - |   269M |   0 |2326 |  18k|  18k| 755 |  8 |   3 |   0 | 1.964714e+03 | 2.111244e+03 |   7.46%| unknown
  7.8s|     1 |     0 | 10904 |     - |   271M |   0 |2326 |  18k|  18k| 858 |  9 |   3 |   0 | 1.968121e+03 | 2.111244e+03 |   7.27%| unknown
  8.5s|     1 |     0 | 11954 |     - |   274M |   0 |2326 |  18k|  18k| 964 | 10 |   3 |   0 | 1.971124e+03 | 2.111244e+03 |   7.11%| unknown
  9.1s|     1 |     0 | 12980 |     - |   276M |   0 |2326 |  18k|  19k|1049 | 11 |   3 |   0 | 1.973242e+03 | 2.111244e+03 |   6.99%| unknown
  9.8s|     1 |     0 | 14074 |     - |   278M |   0 |2326 |  18k|  19k|1145 | 12 |   3 |   0 | 1.975295e+03 | 2.111244e+03 |   6.88%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 10.4s|     1 |     0 | 14999 |     - |   281M |   0 |2326 |  18k|  19k|1222 | 13 |   3 |   0 | 1.976684e+03 | 2.111244e+03 |   6.81%| unknown
 11.2s|     1 |     0 | 16168 |     - |   284M |   0 |2326 |  18k|  19k|1305 | 14 |   3 |   0 | 1.978857e+03 | 2.111244e+03 |   6.69%| unknown
 12.0s|     1 |     0 | 17476 |     - |   286M |   0 |2326 |  18k|  19k|1396 | 15 |   3 |   0 | 1.980874e+03 | 2.111244e+03 |   6.58%| unknown
 12.8s|     1 |     0 | 18701 |     - |   289M |   0 |2326 |  18k|  19k|1488 | 16 |   3 |   0 | 1.981905e+03 | 2.111244e+03 |   6.53%| unknown
 13.5s|     1 |     0 | 19880 |     - |   291M |   0 |2326 |  18k|  19k|1555 | 17 |   3 |   0 | 1.982845e+03 | 2.111244e+03 |   6.48%| unknown
 14.4s|     1 |     0 | 21233 |     - |   294M |   0 |2326 |  18k|  19k|1624 | 18 |   3 |   0 | 1.983715e+03 | 2.111244e+03 |   6.43%| unknown
 15.4s|     1 |     0 | 22962 |     - |   297M |   0 |2326 |  18k|  19k|1687 | 19 |   3 |   0 | 1.984773e+03 | 2.111244e+03 |   6.37%| unknown
